owner,section,formation,best_xi_total,overall_total,line_role,included_in_best_xi,player_id,player_name,club_team_name,listed_position,score,note
Empanada Mama,owned_players,4-5-1,283,281,,no,526827,Konrad Laimer,Bayern Munich,Defender,-2,Left out of best XI.
Patel Riders,owned_players,3-4-3,346,384,GK,yes,9906,Atletico Madrid Keepers,Atletico Madrid,Goalkeeper,43,Keeper unit counted once for owned goalkeeper team.
Patel Riders,owned_players,3-4-3,346,384,M,yes,846005,Dominik Szoboszlai,Liverpool,Midfielder,43,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,M,yes,654096,Declan Rice,Arsenal,Midfielder,39,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,M,yes,1077894,Jude Bellingham,Real Madrid,Midfielder,39,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,M,yes,184533,Koke,Atletico Madrid,Midfielder,34,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,D,yes,705450,Jules KoundÃ©,Barcelona,Defender,32,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,D,yes,267365,Marquinhos,Paris Saint-Germain,Defender,28,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,F,yes,750027,Brahim DÃ­az,Real Madrid,Forward,23,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,D,yes,844415,Ãder Militao,Real Madrid,Defender,23,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,F,yes,846033,VinÃ­cius JÃºnior,Real Madrid,Forward,22,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,F,yes,1297165,Bradley Barcola,Paris Saint-Germain,Forward,20,Selected in best XI.
Patel Riders,owned_players,3-4-3,346,384,,no,609516,Robin Le Normand,Atletico Madrid,Defender,17,Left out of best XI.
Patel Riders,owned_players,3-4-3,346,384,,no,1088753,Geny Catamo,Sporting CP,Forward,10,Left out of best XI.
Patel Riders,owned_players,3-4-3,346,384,,no,792303,Luis SuÃ¡rez,Sporting CP,Forward,8,Left out of best XI.
Patel Riders,owned_players,3-4-3,346,384,,no,750028,Fran GarcÃ­a,Real Madrid,Defender,3,Left out of best XI.
Schlaps FC,owned_players,3-5-2,218,218,M,yes,1083323,Pedri,Barcelona,Midfielder,36,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,GK,yes,9825,Arsenal Keepers,Arsenal,Goalkeeper,35,Keeper unit counted once for owned goalkeeper team.
Schlaps FC,owned_players,3-5-2,218,218,M,yes,1342757,JoÃ£o Neves,Paris Saint-Germain,Midfielder,33,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,D,yes,966018,Jeremie Frimpong,Liverpool,Defender,31,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,F,yes,974753,JuliÃ¡n Ãlvarez,Atletico Madrid,Forward,22,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,D,yes,361757,JoÃ£o Cancelo,Barcelona,Defender,18,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,D,yes,276738,Antonio RÃ¼diger,Real Madrid,Defender,13,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,M,yes,749736,Kai Havertz,Arsenal,Forward,12,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,M,yes,831489,Alexis Mac Allister,Liverpool,Midfielder,10,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,F,yes,1197030,Hugo EkitikÃ©,Liverpool,Forward,8,Selected in best XI.
Schlaps FC,owned_players,3-5-2,218,218,,no,942381,JurriÃ«n Timber,Arsenal,Defender,0,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,F,yes,701154,Kylian MbappÃ©,Real Madrid,Forward,53,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,D,yes,602563,Marcos Llorente,Atletico Madrid,Defender,38,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,M,yes,950199,Morten Hjulmand,Sporting CP,Midfielder,37,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,D,yes,1165710,GonÃ§alo InÃ¡cio,Sporting CP,Defender,30,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,GK,yes,8650,Liverpool Keepers,Liverpool,Goalkeeper,26,Keeper unit counted once for owned goalkeeper team.
Shah Bros,owned_players,5-3-2,282,315,M,yes,915102,Hidemasa Morita,Sporting CP,Midfielder,21,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,F,yes,1084981,Noni Madueke,Arsenal,Forward,21,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,D,yes,1158945,Nuno Mendes,Paris Saint-Germain,Defender,20,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,M,yes,385437,Serge Gnabry,Bayern Munich,Midfielder,13,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,D,yes,488412,ClÃ©ment Lenglet,Atletico Madrid,Defender,12,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,D,yes,1298907,Cristhian Mosquera,Arsenal,Defender,11,Selected in best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,1226147,Giuliano Simeone,Atletico Madrid,Midfielder,10,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,568571,Joseph Gomez,Liverpool,Defender,10,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,696365,Marcus Rashford,Barcelona,Forward,7,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,282674,Daniel Carvajal,Real Madrid,Defender,3,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,1367619,Dean Huijsen,Real Madrid,Defender,3,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,1573126,Marc Bernal,Barcelona,Midfielder,0,Left out of best XI.
Shah Bros,owned_players,5-3-2,282,315,,no,696679,Raphinha,Barcelona,Forward,0,Left out of best XI.
Vada Pav,owned_players,3-4-3,310,321,GK,yes,9847,Paris Saint-Germain Keepers,Paris Saint-Germain,Goalkeeper,55,Keeper unit counted once for owned goalkeeper team.
Vada Pav,owned_players,3-4-3,310,321,F,yes,194165,Harry Kane,Bayern Munich,Forward,54,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,D,yes,1598982,Gerard MartÃ­n,Barcelona,Defender,41,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,M,yes,1253890,Arda GÃ¼ler,Real Madrid,Midfielder,39,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,M,yes,614834,Dani Olmo,Barcelona,Midfielder,34,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,D,yes,1137667,Piero HincapiÃ©,Arsenal,Defender,30,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,M,yes,732282,TrincÃ£o,Sporting CP,Midfielder,19,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,M,yes,1367615,Warren ZaÃ¯re-Emery,Paris Saint-Germain,Midfielder,15,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,F,yes,93447,Robert Lewandowski,Barcelona,Forward,10,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,F,yes,1021586,Gabriel Martinelli,Arsenal,Forward,7,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,D,yes,1051097,Matteo Ruggeri,Atletico Madrid,Defender,6,Selected in best XI.
Vada Pav,owned_players,3-4-3,310,321,,no,469700,Jonathan Tah,Bayern Munich,Defender,4,Left out of best XI.
Vada Pav,owned_players,3-4-3,310,321,,no,318615,Leandro Trossard,Arsenal,Forward,4,Left out of best XI.
Vada Pav,owned_players,3-4-3,310,321,,no,1190025,Alvaro Carreras,Real Madrid,Defender,3,Left out of best XI.
Vada Pav,owned_players,3-4-3,310,321,,no,961995,Bukayo Saka,Arsenal,Forward,0,Left out of best XI.
